utf_16_code_point	character	name
00b0	°	DEGREE SIGN
0393	Γ	GREEK CAPITAL LETTER GAMMA
0394	Δ	GREEK CAPITAL LETTER DELTA
0393	Γ	GREEK CAPITAL LETTER GAMMA
03a0	Π	GREEK CAPITAL LETTER PI
03a3	Σ	GREEK CAPITAL LETTER SIGMA
03a9	Ω	GREEK CAPITAL LETTER OMEGA
03b1	α	GREEK SMALL LETTER ALPHA
03b2	β	GREEK SMALL LETTER BETA
03b3	γ	GREEK SMALL LETTER GAMMA
03b4	δ	GREEK SMALL LETTER DELTA
03b5	ε	GREEK SMALL LETTER EPSILON
03c0	π	GREEK SMALL LETTER PI
03c3	σ	GREEK SMALL LETTER SIGMA
03c9	ω	GREEK SMALL LETTER OMEGA
2014	—	EM DASH
21e7	⇧	UPWARDS WHITE ARROW
2387	⎇	ALTERNATIVE KEY SYMBOL
2388	⎈	HELM SYMBOL
23ce	⏎	RETURN SYMBOL
25c6	◆	BLACK DIAMOND